cpf,descricao,valor
233.946.653-27,Saldo em conta corrente,1654530.18
402.824.480-62,Apartamento,566472.36
232.320.530-02,Motocicleta,1557137.27
517.973.070-98,Investimento em banco,1193198.61
804.817.394-47,Fazenda,484946.41
709.302.449-33,Saldo em conta corrente,1331647.01
190.868.383-40,Título do tesouro,165648.14
522.085.951-27,Título do tesouro,1652026.65
943.687.831-72,Investimento em banco,175755.15
598.198.295-03,Título do tesouro,978466.62
934.814.285-10,Ouro em barras,1640723.88
337.530.488-67,Automóvel,632199.94
132.177.357-80,Trator,271769.36
383.079.181-69,Trator,359021.57
846.671.521-78,Título do tesouro,299973.34
925.466.364-67,Casa,1700916.74
029.844.341-54,Saldo em conta corrente,1576644.45
033.968.813-36,Título do tesouro,899062.23
667.068.968-93,Investimento em banco,196137.25
878.797.545-47,Investimento em banco,448908.31
423.450.055-59,Jóias,996889.16
213.161.302-66,Automóvel,985698.17
944.779.140-36,Trator,990945.0
870.406.909-94,Casa,1034010.38
946.415.817-73,Casa,364233.24
435.107.574-98,Trator,628052.35
182.135.260-27,Motocicleta,1342370.1
274.957.019-48,Ouro em barras,1085107.32
224.886.454-52,Trator,1586667.0
825.041.099-02,Jóias,1068909.69
341.742.106-85,Casa,1029369.88
654.882.949-41,Título do tesouro,1150206.08
740.399.813-29,Saldo em conta corrente,1247072.39
312.591.899-12,Título do tesouro,1630954.0
087.734.756-52,Fazenda,961094.2
956.365.700-85,Fazenda,494484.86
370.476.503-47,Chácara,1235027.88
618.380.523-85,Apartamento,933941.22
493.695.322-87,Sítio,435278.45
666.979.004-41,Automóvel,972368.21
362.996.233-54,Automóvel,1707673.9
523.323.532-61,Ouro em barras,696981.0
931.193.237-74,Ouro em barras,383010.09
531.179.851-95,Trator,994608.83
634.433.973-86,Investimento em banco,144134.39
825.649.696-00,Apartamento,1436532.22
097.073.003-86,Apartamento,1592964.0
396.593.011-13,Automóvel,574176.09
137.130.666-80,Fazenda,860484.42
496.003.913-26,Automóvel,1138553.0
591.870.097-11,Trator,1322402.45
776.203.728-49,Jóias,1095692.0
149.157.062-20,Fazenda,708186.3
975.559.712-45,Motocicleta,1054421.14
575.312.276-39,Saldo em conta corrente,523139.06
822.288.426-65,Investimento em banco,1543306.18
935.357.530-46,Chácara,1177521.46
345.299.812-62,Investimento em banco,1367291.49
537.054.150-28,Chácara,587896.17
558.207.592-45,Sítio,316592.02
009.343.436-26,Casa,464599.94
250.591.413-93,Trator,457496.96
547.115.788-39,Trator,1528576.04
129.698.651-68,Casa,1090146.19
080.668.946-72,Chácara,263635.01
918.842.971-26,Casa,1302876.0
853.743.930-98,Trator,181962.62
177.838.788-92,Automóvel,434308.03
340.067.512-18,Jóias,311115.71
189.361.051-47,Investimento em banco,1453827.0
609.264.384-84,Investimento em banco,1647092.93
637.963.635-88,Título do tesouro,615730.38
534.804.107-49,Investimento em banco,1448936.97
195.024.931-27,Chácara,1579507.53
350.322.505-87,Apartamento,683180.12
366.443.550-70,Saldo em conta corrente,1330464.75
599.461.559-40,Saldo em conta corrente,994083.3
854.936.403-79,Trator,308648.7
078.683.937-63,Jóias,222405.59
519.835.899-92,Saldo em conta corrente,579461.25
371.467.048-01,Saldo em conta corrente,370362.06
471.875.918-37,Ouro em barras,780557.92
053.902.818-57,Motocicleta,1488866.98
581.831.471-99,Automóvel,191245.97
510.512.430-80,Saldo em conta corrente,1380573.07
338.120.166-77,Investimento em banco,1000111.76
171.985.462-81,Título do tesouro,981210.48
730.009.650-28,Apartamento,450710.71
169.524.532-04,Título do tesouro,43307.38
198.557.175-64,Ouro em barras,1118774.1
403.859.213-95,Casa,336175.16
733.804.256-11,Saldo em conta corrente,1797627.03
249.787.852-33,Apartamento,65714.0
994.712.679-30,Fazenda,1372645.47
427.175.568-23,Saldo em conta corrente,802382.27
584.557.577-91,Casa,1145875.29
919.734.256-36,Saldo em conta corrente,282504.8
773.557.184-51,Título do tesouro,22206.94
626.679.284-48,Investimento em banco,828966.21
892.746.480-95,Apartamento,1277754.2
593.145.548-52,Sítio,229161.78
124.181.694-38,Casa,762432.58
117.018.226-60,Trator,1296382.0
969.849.576-54,Trator,486479.03
722.189.784-37,Jóias,14578.32
211.334.141-65,Título do tesouro,787502.51
966.572.322-45,Automóvel,1090991.43
686.760.809-38,Jóias,722988.88
957.509.740-35,Casa,1421042.56
008.089.909-77,Chácara,818300.02
269.659.223-21,Chácara,1148782.43
094.856.505-16,Casa,1125182.33
632.255.317-05,Casa,1742454.9
991.198.299-45,Trator,1364513.35
862.092.782-36,Casa,192432.1
747.879.916-56,Casa,1797032.62
163.400.593-50,Sítio,1741196.24
886.330.776-41,Sítio,444692.69
433.347.154-91,Casa,1523987.92
051.894.786-86,Chácara,600054.77
694.876.678-23,Motocicleta,1790607.54
641.559.468-71,Ouro em barras,921200.15
496.079.735-72,Motocicleta,1300685.91
484.361.324-20,Título do tesouro,390365.44
396.476.279-81,Fazenda,1107612.51
628.595.324-08,Fazenda,501029.68
307.129.687-46,Ouro em barras,470306.74
952.403.908-29,Investimento em banco,87009.88
640.844.008-56,Apartamento,1484873.0
057.753.054-11,Chácara,763161.67
046.317.546-49,Trator,475141.81
866.615.477-36,Automóvel,14509.4
125.230.450-53,Sítio,188931.0
264.935.630-62,Investimento em banco,1769477.7
175.810.996-32,Chácara,1518952.97
364.303.354-34,Jóias,976079.24
346.330.058-01,Motocicleta,1473456.35
903.933.800-81,Automóvel,1151797.0
625.842.586-72,Automóvel,1298611.08
298.058.972-96,Sítio,1555104.13
155.911.962-24,Ouro em barras,269402.2
900.834.187-05,Ouro em barras,1431629.15
091.107.943-26,Apartamento,504982.31
669.379.042-84,Automóvel,1317731.36
022.042.135-37,Motocicleta,931825.0
844.963.041-18,Chácara,858584.75
062.112.189-56,Sítio,1615231.0
223.738.431-97,Casa,287923.2
380.191.300-65,Título do tesouro,1029422.83
766.746.847-87,Automóvel,678402.24
371.050.401-58,Chácara,1314433.04
316.005.431-22,Automóvel,1698501.46
541.815.447-60,Apartamento,582635.04
720.660.579-36,Saldo em conta corrente,1344921.77
183.195.986-26,Ouro em barras,380730.21
562.567.782-01,Ouro em barras,729749.19
304.127.967-24,Investimento em banco,650071.45
495.471.986-89,Fazenda,1448681.35
521.505.499-89,Apartamento,1015618.57
198.532.693-10,Investimento em banco,175734.88
353.799.064-99,Saldo em conta corrente,1061749.26
596.398.637-70,Fazenda,1653586.24
680.243.164-69,Chácara,1043322.76
912.313.339-35,Jóias,931861.56
692.223.495-91,Sítio,1422307.58
614.513.188-82,Saldo em conta corrente,343691.95
732.478.570-73,Apartamento,185953.17
327.005.650-49,Investimento em banco,667021.97
128.877.538-38,Investimento em banco,1650041.0
275.444.648-01,Fazenda,1517961.16
958.122.456-39,Fazenda,1702447.65
939.177.810-60,Casa,691121.2
713.558.821-61,Motocicleta,1643594.61
635.950.251-91,Motocicleta,1617962.15
200.069.183-76,Motocicleta,1173772.47
929.242.500-28,Automóvel,1614512.55
847.041.384-22,Jóias,1150128.65
299.005.031-13,Investimento em banco,1398476.73
945.313.016-65,Título do tesouro,823419.61
610.416.574-02,Chácara,485915.28
010.784.958-75,Trator,42288.23
021.370.439-53,Apartamento,1223270.73
218.466.426-82,Fazenda,1476698.9
262.110.721-50,Título do tesouro,155804.47
662.069.048-31,Ouro em barras,1713468.38
284.188.192-93,Motocicleta,1477027.94
742.504.768-76,Ouro em barras,1738035.62
546.689.590-57,Fazenda,129945.9
434.538.847-05,Sítio,93200.85
089.793.676-73,Casa,474395.97
586.850.652-74,Trator,899104.38
863.176.640-82,Casa,1585980.71
032.469.185-48,Título do tesouro,1263589.0
991.660.545-99,Trator,1138650.04
487.306.587-70,Fazenda,348256.86
837.038.674-41,Motocicleta,1229627.94
053.750.882-58,Casa,1143110.36
647.049.902-65,Motocicleta,578236.77
397.664.149-27,Ouro em barras,847903.18
002.342.845-67,Automóvel,1433009.02
630.459.020-58,Fazenda,892254.32
278.007.770-87,Ouro em barras,1573290.0
871.812.397-42,Saldo em conta corrente,16608.6
345.759.432-23,Título do tesouro,1146970.0
705.313.914-04,Sítio,622533.52
277.667.938-55,Trator,982499.74
031.209.477-43,Título do tesouro,1198647.86
564.251.317-22,Ouro em barras,1351201.01
192.647.583-13,Fazenda,579034.46
494.340.650-57,Ouro em barras,221582.52
781.583.474-41,Chácara,954823.4
234.760.106-21,Título do tesouro,872224.81
159.920.915-28,Apartamento,542353.92
287.584.958-93,Ouro em barras,1131444.37
590.095.999-87,Saldo em conta corrente,989397.78
099.620.924-77,Fazenda,720829.76
088.151.808-81,Jóias,1229807.57
121.721.324-44,Saldo em conta corrente,1096683.82
956.855.559-75,Ouro em barras,441686.29
919.612.450-16,Apartamento,1782461.02
125.768.706-17,Apartamento,1510667.15
084.851.679-81,Sítio,340594.69
870.413.745-08,Trator,663815.51
437.608.398-09,Ouro em barras,456818.77
049.897.244-41,Chácara,673386.19
963.841.414-34,Jóias,1474280.1
096.139.007-23,Jóias,675383.2
572.554.104-68,Título do tesouro,1034667.47
238.918.468-71,Trator,1127419.64
105.661.913-17,Sítio,638433.95
601.331.453-28,Apartamento,1064374.97
062.050.179-77,Casa,713744.3
218.655.405-93,Automóvel,1588209.96
012.418.738-58,Saldo em conta corrente,712237.11
123.792.105-36,Título do tesouro,142969.78
261.157.066-26,Chácara,283366.16
545.258.288-97,Saldo em conta corrente,122282.08
797.398.369-62,Jóias,1313397.19
683.559.964-82,Jóias,1267638.65
474.701.200-81,Automóvel,1607888.73
194.334.749-59,Jóias,1619380.52
697.989.240-91,Motocicleta,460445.14
798.554.480-93,Ouro em barras,544201.43
717.813.116-22,Jóias,1564965.37
656.494.028-17,Jóias,1102385.63
920.995.300-57,Sítio,1337898.39
332.609.113-64,Chácara,807124.87
598.886.681-16,Sítio,634533.46
172.160.297-24,Sítio,677191.99
352.292.741-56,Investimento em banco,1642223.52
496.190.288-78,Motocicleta,963734.87
551.822.305-90,Sítio,1401915.19
164.658.456-52,Título do tesouro,746995.83
032.963.088-19,Automóvel,1688956.58
952.565.544-38,Chácara,1256761.76
957.998.243-28,Casa,463639.77
823.489.897-84,Apartamento,255397.14
193.469.126-55,Sítio,1686853.1
409.342.710-92,Ouro em barras,597801.65
466.045.513-14,Saldo em conta corrente,372021.19
456.746.015-72,Casa,975666.1
550.581.782-02,Automóvel,466488.38
859.572.371-37,Casa,355278.38
876.304.267-77,Automóvel,1502782.8
646.938.977-55,Motocicleta,567724.51
384.254.386-57,Casa,1254676.72
281.312.323-11,Saldo em conta corrente,1402780.69
634.730.985-11,Saldo em conta corrente,939262.85
852.293.689-44,Casa,1561588.02
639.132.698-70,Fazenda,1250086.08
957.480.696-84,Investimento em banco,95000.15
296.533.543-51,Casa,115269.0
516.555.204-02,Jóias,706649.84
243.208.730-05,Fazenda,523984.0
599.936.183-57,Jóias,516128.62
107.216.632-84,Fazenda,1689127.0
137.433.333-76,Fazenda,1680526.09
247.706.875-16,Chácara,1565152.71
986.529.031-92,Fazenda,853202.77
446.449.989-28,Ouro em barras,631667.58
662.723.586-53,Jóias,906950.7
486.037.205-03,Automóvel,449859.32
976.028.345-67,Sítio,578932.83
161.157.074-19,Sítio,1758495.53
584.921.180-44,Título do tesouro,414297.39
252.029.800-00,Título do tesouro,1091088.43
100.278.505-29,Automóvel,1448074.6
932.933.817-64,Motocicleta,866260.34
517.125.724-44,Trator,248384.9
949.496.999-71,Saldo em conta corrente,1278152.54
933.222.463-41,Fazenda,1085469.11
718.673.240-98,Ouro em barras,1434388.04
577.001.207-17,Investimento em banco,198151.93
878.384.557-96,Fazenda,1265745.94
525.915.279-41,Ouro em barras,385757.34
538.328.305-70,Título do tesouro,426942.75
567.121.239-89,Motocicleta,535991.68
820.678.362-89,Ouro em barras,256253.76
176.259.384-08,Chácara,386457.53
085.992.960-59,Apartamento,1393441.8
333.341.506-95,Sítio,742858.13
298.385.828-59,Jóias,882646.58
026.285.060-20,Investimento em banco,1606643.69
915.758.266-41,Sítio,818965.27
433.086.364-66,Saldo em conta corrente,1303796.7
984.339.847-42,Título do tesouro,1683957.45
834.297.831-65,Motocicleta,140794.06
208.713.718-20,Trator,59694.45
886.881.933-22,Jóias,1530215.23
242.431.223-07,Automóvel,374852.7
621.663.699-06,Sítio,535012.12
738.871.445-37,Investimento em banco,733494.68
389.588.410-89,Fazenda,1278356.04
743.104.504-34,Ouro em barras,1717488.97
412.246.272-01,Fazenda,852287.41
559.038.538-52,Automóvel,1187181.44
345.328.746-09,Investimento em banco,882198.11
217.967.306-51,Sítio,620563.89
735.121.746-14,Trator,508579.0
174.821.506-56,Investimento em banco,1010567.33
764.240.508-58,Automóvel,1181156.88
204.834.559-83,Saldo em conta corrente,1413321.0
738.642.404-61,Trator,880564.67
818.167.354-32,Fazenda,818024.32
045.132.969-10,Título do tesouro,1684881.79
773.998.742-20,Sítio,1305812.83
397.167.188-85,Apartamento,1728726.99
347.142.105-85,Casa,535060.02
491.051.421-64,Fazenda,1053153.78
717.384.810-02,Automóvel,1347283.51
963.708.905-52,Investimento em banco,1783147.48
927.341.252-67,Trator,1499517.42
855.177.429-02,Investimento em banco,572758.85
908.382.413-65,Investimento em banco,1451343.83
466.680.377-13,Casa,1236075.0
414.130.703-30,Jóias,1525242.87
433.245.099-79,Chácara,206658.95
442.624.806-92,Fazenda,10506.13
414.357.740-05,Ouro em barras,917739.63
826.738.647-74,Saldo em conta corrente,68083.9
197.175.312-48,Ouro em barras,266423.45
927.992.332-71,Sítio,745925.0
735.295.516-97,Jóias,958381.6
528.030.391-49,Automóvel,1184355.66
134.463.481-74,Trator,1277414.61
910.904.942-86,Motocicleta,865290.93
247.794.086-16,Chácara,1392853.0
960.993.279-33,Chácara,739264.42
779.177.470-14,Apartamento,372536.72
045.088.353-92,Título do tesouro,337412.09
860.856.027-93,Trator,1188673.99
839.553.733-81,Fazenda,929156.22
388.146.683-36,Trator,630128.01
595.755.628-87,Trator,917992.71
531.703.490-40,Jóias,212305.56
445.476.577-47,Sítio,515445.42
414.146.243-23,Sítio,575753.8
123.944.312-88,Jóias,1015267.27
288.999.292-38,Fazenda,97479.11
118.021.272-22,Chácara,363919.26
967.583.228-56,Título do tesouro,1157053.73
056.787.091-43,Casa,473586.43
990.968.917-44,Jóias,372942.35
580.664.616-77,Fazenda,498661.88
701.785.240-87,Automóvel,841603.87
955.584.147-81,Ouro em barras,846002.22
699.207.823-45,Saldo em conta corrente,1492979.98
168.839.837-95,Apartamento,1680695.02
011.750.976-60,Investimento em banco,725966.2
163.496.749-51,Chácara,502351.04
233.295.541-83,Apartamento,99912.25
987.233.822-17,Saldo em conta corrente,856332.01
514.369.247-68,Apartamento,16366.61
112.893.525-70,Sítio,1370494.02
069.149.963-73,Sítio,236994.6
451.280.986-58,Chácara,1591633.33
822.849.753-48,Casa,472934.72
403.729.448-91,Investimento em banco,6894.11
323.729.473-53,Saldo em conta corrente,1518204.45
518.140.407-81,Saldo em conta corrente,36884.79
858.385.344-02,Ouro em barras,259404.65
123.876.570-66,Casa,1704831.09
600.213.185-06,Sítio,1173146.6
032.477.632-79,Jóias,138525.15
071.661.842-85,Sítio,1585569.05
690.139.220-55,Motocicleta,250633.96
323.444.711-87,Ouro em barras,1288031.9
227.791.019-17,Motocicleta,483204.46
266.641.272-87,Casa,1382252.0
766.923.897-91,Jóias,231961.2
280.761.027-61,Ouro em barras,307411.09
983.948.625-12,Chácara,1309531.82
683.201.329-59,Investimento em banco,302192.77
070.231.202-28,Chácara,1401347.22
330.501.087-97,Automóvel,1306030.0
186.342.081-99,Saldo em conta corrente,693545.53
750.157.795-58,Investimento em banco,58393.63
540.935.305-52,Trator,413503.68
139.155.016-51,Casa,1363236.15
993.201.416-29,Trator,276057.76
048.955.991-70,Chácara,92204.1
046.982.348-86,Apartamento,1498571.61
717.614.059-03,Fazenda,1382461.47
631.091.229-78,Chácara,436606.25
678.966.308-05,Casa,653880.0
684.723.830-30,Casa,1393620.72
859.128.637-73,Fazenda,1096727.0
460.314.878-91,Chácara,1184560.25
881.120.174-84,Título do tesouro,470692.15
641.256.748-14,Título do tesouro,547278.44
928.482.530-83,Saldo em conta corrente,912505.66
346.937.879-39,Saldo em conta corrente,1062741.99
148.079.051-04,Chácara,778927.5
593.658.809-24,Motocicleta,689210.53
901.808.675-97,Fazenda,102030.22
715.993.022-77,Investimento em banco,1429992.86
210.891.423-29,Motocicleta,1003583.24
033.217.025-65,Motocicleta,1049659.0
184.367.289-41,Fazenda,1544674.85
435.045.283-17,Chácara,1486066.86
380.405.010-93,Investimento em banco,898158.0
724.118.249-75,Fazenda,950467.53
796.828.987-46,Ouro em barras,100760.87
270.828.199-87,Automóvel,1269713.67
263.053.702-87,Automóvel,1497474.76
053.680.547-51,Sítio,980036.01
505.857.538-25,Jóias,602403.36
594.922.732-09,Casa,1216988.18
855.769.455-86,Chácara,1141370.0
076.031.582-03,Trator,1187657.07
014.385.599-18,Chácara,1087797.69
329.533.445-12,Jóias,1356085.42
494.701.147-61,Título do tesouro,1316600.61
017.823.685-97,Motocicleta,1527737.68
812.920.064-77,Investimento em banco,1252107.44
243.869.639-62,Saldo em conta corrente,1707542.32
912.228.602-03,Título do tesouro,927852.1
200.764.320-79,Apartamento,1221187.46
743.003.607-94,Jóias,42966.29
776.032.949-93,Título do tesouro,1479438.9
698.694.396-94,Título do tesouro,197600.51
784.941.323-88,Trator,1734223.73
844.138.596-44,Sítio,928124.84
670.729.706-62,Título do tesouro,1033083.0
150.349.119-83,Ouro em barras,842299.81
846.776.680-82,Sítio,1288794.56
621.333.356-99,Investimento em banco,952111.0
732.547.628-77,Motocicleta,1526266.0
160.568.295-80,Saldo em conta corrente,15291.69
281.233.624-45,Apartamento,330857.89
581.523.904-34,Trator,360805.6
226.547.710-97,Motocicleta,1471669.93
097.208.323-99,Chácara,542544.45
348.499.727-64,Trator,1227907.61
555.373.664-05,Casa,1292411.26
678.422.068-87,Saldo em conta corrente,1300801.17
634.178.124-47,Motocicleta,322216.92
059.273.543-38,Motocicleta,499254.76
334.460.612-37,Apartamento,604432.52
169.032.588-47,Jóias,1582486.62
907.624.482-79,Investimento em banco,1790689.21
815.178.538-79,Apartamento,467248.19
645.883.377-21,Fazenda,1094577.63
091.387.285-24,Investimento em banco,1654481.13
121.236.767-98,Chácara,872718.22
477.961.700-74,Investimento em banco,219853.1
246.471.067-54,Jóias,176121.63
363.839.237-57,Fazenda,1310670.09
129.505.917-75,Investimento em banco,1378508.65
075.927.433-50,Investimento em banco,299101.81
576.734.096-15,Trator,144246.57
250.807.055-32,Casa,2971.91
583.089.789-93,Jóias,1772883.08
078.554.326-93,Sítio,600457.33
790.517.459-95,Fazenda,1624413.63
768.602.174-05,Saldo em conta corrente,1638877.67
326.085.053-21,Ouro em barras,1042403.35
337.797.710-90,Chácara,138296.19
401.692.254-18,Saldo em conta corrente,1483456.25
143.880.593-71,Ouro em barras,1413423.04
258.719.555-08,Apartamento,1399012.0
002.562.419-44,Jóias,124554.51
582.007.642-25,Fazenda,708206.18
937.700.604-58,Casa,1219002.56
981.346.261-87,Motocicleta,251990.25
899.573.593-23,Investimento em banco,911059.0
524.680.397-46,Trator,28940.46
962.562.541-22,Automóvel,1279982.69
989.296.730-02,Fazenda,697010.41
599.934.133-66,Investimento em banco,606781.12
940.649.138-48,Casa,155184.77
762.580.853-91,Casa,1627791.1
017.979.871-78,Apartamento,984823.83
602.391.456-24,Casa,1741211.64
055.077.152-05,Chácara,1351977.83
362.807.436-88,Sítio,739848.96
123.849.691-82,Apartamento,162370.47
339.288.635-03,Sítio,299861.24
464.472.887-36,Automóvel,1624278.21
053.845.066-81,Fazenda,1063518.58
055.079.663-14,Chácara,1497859.91
149.905.626-03,Saldo em conta corrente,1523759.97
435.813.933-78,Sítio,449729.06
405.136.867-48,Trator,1075575.27
161.521.510-65,Casa,1577592.48
221.188.340-14,Ouro em barras,1155695.38
410.182.467-45,Chácara,41475.3
881.458.592-49,Motocicleta,1409713.54
018.828.532-36,Investimento em banco,265853.49
667.581.428-43,Automóvel,1743320.0
302.056.249-85,Sítio,1343817.21
388.430.105-77,Sítio,1057285.25
351.027.600-56,Título do tesouro,1339003.42
247.383.946-95,Motocicleta,45517.42
926.726.469-35,Título do tesouro,290848.53
503.506.648-21,Investimento em banco,1123391.24
451.694.952-39,Sítio,715109.43
983.465.409-75,Casa,181720.47
747.758.495-28,Casa,482219.39
060.884.192-11,Título do tesouro,1305568.88
218.435.824-25,Título do tesouro,1178350.31
178.642.147-89,Apartamento,407077.29
732.473.760-10,Automóvel,1051585.0
920.225.672-52,Título do tesouro,400496.01
579.300.831-85,Chácara,749809.4
091.421.223-79,Fazenda,1416646.87
308.687.836-09,Saldo em conta corrente,390773.68
020.550.023-49,Apartamento,1203047.09
836.355.709-70,Apartamento,311844.09
386.411.492-66,Trator,493966.21
066.384.958-59,Investimento em banco,693482.88
293.869.846-50,Jóias,1340721.7
111.850.017-08,Motocicleta,946332.85
476.395.103-75,Motocicleta,1584791.25
257.416.195-62,Saldo em conta corrente,887669.13
517.409.232-40,Trator,1234813.44
745.242.992-24,Título do tesouro,1552631.0
767.654.930-55,Investimento em banco,1187295.13
642.645.197-59,Chácara,455000.29
581.690.585-69,Investimento em banco,999051.86
060.316.320-08,Motocicleta,613721.88
454.782.051-00,Ouro em barras,128761.62
320.212.366-94,Ouro em barras,1148292.89
949.183.235-03,Saldo em conta corrente,1002942.0
856.493.344-57,Título do tesouro,1167971.74
209.065.215-33,Apartamento,855955.99
433.807.391-31,Ouro em barras,251437.9
956.847.009-40,Saldo em conta corrente,1020321.92
125.561.781-21,Trator,879255.91
962.998.670-18,Casa,1644974.06
499.378.491-40,Sítio,929144.82
108.193.406-29,Sítio,728096.52
590.880.404-55,Título do tesouro,28716.66
028.318.513-91,Saldo em conta corrente,489706.97
903.322.671-11,Investimento em banco,1308536.92
623.385.510-43,Chácara,1762070.32
664.685.480-84,Automóvel,431431.56
576.277.792-97,Sítio,202187.6
762.808.354-53,Saldo em conta corrente,208436.67
477.529.184-68,Fazenda,1219798.0
311.834.422-53,Casa,265145.81
109.342.464-89,Saldo em conta corrente,1701667.21
500.636.110-03,Investimento em banco,1149263.65
096.277.870-14,Investimento em banco,609434.24
657.742.923-31,Ouro em barras,1190927.41
330.646.051-09,Casa,1035862.82
735.868.805-45,Trator,279055.77
392.207.793-95,Chácara,1509981.05
404.229.107-59,Investimento em banco,1621464.26
057.722.758-50,Motocicleta,1780652.18
648.665.802-84,Sítio,1531103.38
461.621.682-74,Apartamento,1278055.11
908.318.178-60,Investimento em banco,941079.17
414.457.929-50,Casa,359159.73
680.935.479-85,Casa,174211.2
877.133.461-26,Motocicleta,1216355.8
678.395.049-26,Motocicleta,575218.25
291.801.317-27,Apartamento,1751516.62
408.499.591-42,Investimento em banco,36694.46
